City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
73,Puquio,PE,60.85,broken clouds,-14.7,-74.1333,Hostal Jousef
75,Porto Novo,BJ,76.46,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
76,Cockburn Town,TC,82.38,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
77,Carupano,VE,85.37,clear sky,10.6678,-63.2585,Hotel La dorada
78,Ilulissat,GL,57.22,clear sky,69.2167,-51.1,Hotel Arctic
79,Union City,US,88.61,clear sky,37.5958,-122.0192,"Holiday Inn Express Union City (San Jose), an IHG Hotel"
80,Katsuura,JP,81.1,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
81,Inirida,CO,77.54,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
82,Bengkulu,ID,74.55,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
83,Bethel,US,77.09,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
84,Smithers,CA,88.2,clear sky,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
85,Souillac,MU,69.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
86,Rawah,IQ,95.97,clear sky,34.4816,41.9093,ديوان الشيخ نامق محسن الراوي
88,Cap-Aux-Meules,CA,63.9,clear sky,47.3821,-61.8597,Auberge Madeli
89,Balangir,IN,75.74,broken clouds,20.7167,83.4833,Sarojinee Residency
90,Georgetown,MY,76.93,few clouds,5.4112,100.3354,Cititel Penang
92,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
94,Panama City,PA,89.17,scattered clouds,8.9936,-79.5197,Hotel Riande Granada Urban
95,Keta,GH,77.49,clear sky,5.9179,0.9879,A&Y Wild Camp Ghana
96,Kulmbach,DE,61.7,overcast clouds,50.1,11.45,ACHAT Hotel Kulmbach
97,Myrtle Beach,US,96.98,broken clouds,33.6891,-78.8867,Bay View Resort Myrtle Beach
98,Kulhudhuffushi,MV,82.36,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
100,Mahebourg,MU,69.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
101,Nuuk,GL,61.41,broken clouds,64.1835,-51.7216,Vandrehuset
102,Norman Wells,CA,89.31,clear sky,65.282,-126.8329,Heritage Hotel
