City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
109,Mbandaka,CD,0.0487,18.2603,73.44,74,100,4.36,overcast clouds
110,Lompoc,US,34.6391,-120.4579,90.7,65,1,14.97,clear sky
111,Sept-Iles,CA,50.2001,-66.3821,61.48,63,85,11.9,overcast clouds
112,Brae,GB,60.3964,-1.353,49.91,80,100,14.03,overcast clouds
113,Shingu,JP,33.7333,135.9833,78.91,91,99,3.2,overcast clouds
114,Sungaipenuh,ID,-2.0833,101.3833,61.99,96,89,2.1,overcast clouds
115,Hilo,US,19.7297,-155.09,78.62,81,76,4.0,broken clouds
116,Zaltan,LY,32.947,11.8665,86.32,53,0,12.91,clear sky
117,Bluff,NZ,-46.6,168.3333,39.79,88,95,8.41,overcast clouds
118,Adrar,MR,20.5022,-10.0711,98.1,22,37,9.08,scattered clouds
119,Carnarvon,AU,-24.8667,113.6333,50.07,62,0,10.36,clear sky
120,Phangnga,TH,8.4509,98.5298,83.91,92,100,7.36,overcast clouds
121,Ustka,PL,54.5805,16.8619,61.84,83,100,5.95,overcast clouds
122,Te Anau,NZ,-45.4167,167.7167,40.98,92,98,1.61,overcast clouds
123,Amahai,ID,-3.3333,128.9167,76.86,89,35,2.8,scattered clouds
124,Ancud,CL,-41.8697,-73.8203,49.53,66,53,3.58,broken clouds
125,Kangaatsiaq,GL,68.3065,-53.4641,44.53,84,0,16.31,clear sky
126,Barrow,US,71.2906,-156.7887,50.02,83,90,20.71,overcast clouds
127,Faya,SA,18.3851,42.4509,66.72,67,97,4.94,overcast clouds
128,Chuy,UY,-33.6971,-53.4616,54.36,82,31,6.15,scattered clouds
129,Kaitangata,NZ,-46.2817,169.8464,41.99,96,22,4.29,few clouds
130,Nantucket,US,41.2835,-70.0995,75.96,71,1,8.05,clear sky
131,Berlevag,NO,70.8578,29.0864,57.0,93,75,9.22,moderate rain
132,Seoul,KR,37.5683,126.9778,77.41,92,100,3.62,overcast clouds
133,Ouadda,CF,8.0777,22.4007,66.52,98,100,2.98,overcast clouds
134,Lebu,CL,-37.6167,-73.65,53.15,71,6,17.83,clear sky
135,Yar-Sale,RU,66.8333,70.8333,54.84,93,100,18.45,moderate rain
136,Bad Doberan,DE,54.1071,11.9005,63.99,72,85,12.41,overcast clouds
137,Jacareacanga,BR,-6.2222,-57.7528,99.39,19,7,4.88,clear sky
138,Castrillon,ES,43.3979,-6.7922,62.22,97,27,2.51,scattered clouds
139,Mandera,KE,3.9366,41.867,81.77,50,91,22.97,overcast clouds
140,Poco Verde,BR,-10.7083,-38.1833,71.92,68,36,12.41,scattered clouds
141,Phalauda,IN,29.1833,77.8167,82.44,79,86,4.0,overcast clouds
142,Eureka,US,40.8021,-124.1637,71.13,72,64,7.0,broken clouds
143,Ahipara,NZ,-35.1667,173.1667,55.45,87,63,9.62,broken clouds
144,Hovd,MN,48.0056,91.6419,54.64,65,4,2.15,clear sky
145,Baykit,RU,61.67,96.37,59.13,92,100,1.45,overcast clouds
146,Chabahar,IR,25.2919,60.643,83.59,84,18,11.18,few clouds
147,Chifeng,CN,42.2683,118.9636,62.71,79,66,3.89,broken clouds
148,Palora,EC,-1.7,-77.9333,67.77,77,98,2.01,overcast clouds
149,Cape Town,ZA,-33.9258,18.4232,58.12,78,55,1.01,broken clouds
150,Kalmunai,LK,7.4167,81.8167,81.36,71,100,1.54,overcast clouds
151,Port Elizabeth,ZA,-33.918,25.5701,59.29,77,40,31.07,scattered clouds
